tweet_id	class	tweet
SMM4H2022yW4mXhmCE9gh1B7b	ADE	"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"
SMM4H2022afMxPjtHKyItF0n3	ADE	@USER_________ if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs
SMM4H2022dc1lWHnZeBy441B8	ADE	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."
SMM4H2022ExV2GXXaqhGjJNFM	ADE	pt of mine died from cipro rt @USER_________: @USER_____ if only more doctors thought like you! i lost my entire life to 12 cipro pills
SMM4H2022dZ7ZqyvGqxh0jKeH	ADE	@USER_____ The only pt of mine who ever died was one age 21 profound autism chronic underwt & GI issues, given lots of Cipro. Terrible
SMM4H202221svYY3nNe8z5jdE	ADE	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.
SMM4H2022TktK7f4NNPqLzVWl	ADE	@USER______ oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.
SMM4H2022E8PLU8eznkYN0dlx	ADE	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?
SMM4H2022FxzK9r9cEII1gmaJ	ADE	@USER___________ Umm, are you being a smart-ass? Dont mess with me right now. Going through Cymbalta withdrawal I think & Im VERY depressed.
SMM4H20222QPvF36FzxCLJe8l	ADE	today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.
SMM4H2022o9R8zCvDwlfSI87k	ADE	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps
SMM4H20224CdAz4uAODp4fESt	ADE	that nap was on point.... cymbalta did that shit cuz i dont take naps...ever
SMM4H2022aJS4BaMKlXI0KeI5	ADE	@USER___________ cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!
SMM4H2022LsJR4tzc0A5eTQB4	ADE	@USER____ @USER________ i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed
SMM4H2022H46enMioMkbcxr0A	ADE	note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions
SMM4H202247Y6GjkNElgjxDKM	ADE	I'm sure this fluoxetine is making my illness worse, especially since I can't eat..
SMM4H2022nAYZ3hTd7VxYMKZC	ADE	rt @USER___: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic '
SMM4H2022pJ8eplYSKrDUKhBg	ADE	i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.
SMM4H2022VlNSwqfn2B6lekK9	ADE	so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.
